"","filename","date","year","month","day"
"1","moley_perspective_AI_1.txt","1959-07-06",1959,7,6
"2","moley_perspective_AI_3.txt","1959-09-28",1959,9,28
"3","moley_perspective_AI_4.txt","1959-10-26",1959,10,26
"4","moley_perspective_AI_5.txt","1959-11-30",1959,11,30
"5","moley_perspective_AI_8.txt","1953-01-26",1953,1,26
"6","moley_perspective_AI_21.txt","1953-09-28",1953,9,28
"7","moley_perspective_AI_27.txt","1953-11-30",1953,11,30
"8","moley_perspective_AI_30.txt","1955-01-03",1955,1,3
"9","moley_perspective_AI_52.txt","1955-11-28",1955,11,28
"10","moley_perspective_AI_59.txt","1957-05-06",1957,5,6
"11","moley_perspective_AI_70.txt","1957-09-16",1957,9,16
"12","moley_perspective_AI_72.txt","1957-10-21",1957,10,21
"13","moley_perspective_AI_74.txt","1957-12-09",1957,12,9
"14","moley_perspective_AI_75.txt","1959-01-26",1959,1,26
"15","moley_perspective_AI_76.txt","1959-02-23",1959,2,23
"16","moley_perspective_AI_78.txt","1959-04-20",1959,4,20
"17","moley_perspective_AI_86.txt","1959-07-06",1959,7,6
"18","moley_perspective_AI_87.txt","1959-08-31",1959,8,31
"19","moley_perspective_AI_88.txt","1959-09-28",1959,9,28
"20","moley_perspective_AI_89.txt","1959-11-30",1959,11,30
"21","moley_perspective_AI_90.txt","1959-12-14",1959,12,14
"22","moley_perspective_AI_93.txt","1955-05-30",1955,5,30
"23","moley_perspective_AI_95.txt","1959-10-26",1959,10,26
